func_sigla,func_desc,func_nivel
PREE02,PRESIDENTE DA EMBRAPA,
DIRE01,DIRETORIA DE INOVAÇÃO E MERCADO - DIRIM,
DIRE01,DIRETOR INOVAÇÃO,
CH. DA,CH. DA CASA MILITAR,
DIRE01,DIRETOR GERENTE,
DIRE02,DIRETOR VICE-PRESIDENTE,
DIRE03,DIRETOR VICE-PRESIDENTE,
DIRE01,DIRETORA GERAL,
SEC,SECRETÁRIA EXECUTIVA DE ORÇAMENTO DA SEFAZ,
DIR,DIRETORA-PRESIDENTE DA FUND. HOSPITAL ADRIANO JORGE - FHAJ,
CE-2,DIRETOR TÉCNICO,
PROC,PROCURADOR GERAL MINISTERIO PUBLICO JUNTO AO TRIBUNAL CONTAS,NA
DIR,DIRETOR-PRESIDENTE DA IMPRENSA OFICIAL DO ESTADO,
DIRE01,DIRETOR DE GOVERNANÇA DE ENTIDADES LIGADAS,
DIRE02,DIRETOR DE GOVERNANÇA DE ENTIDADES LIGADAS,
1934,DIRETOR GERAL QCE-02,
SUBCOM,SUBCOMANDANTE-GERAL DA POLÍCIA MILITAR,
COORDE,COORDENADOR EXEC. DA UG DE PROJETOS ESPECIAIS DA UGPE   SRMM,
1017,DIRETOR GERAL,
DAI-1,DIR. INDUSTRIAL E DE LOGÍSTICA,
CDSI-3,DIR. TÉCNICO,
CDS-2,SECRETARIO EXECUTIVO DE CIENCIA E TECNOLOGIA,
1301,DIRETOR GERAL,
DIRE01,DIRETOR DE GESTÃO DE NOVOS NEGÓCIOS E PARTICIPAÇÕES,
DIRI01,DIRETOR TÉCNICO,
DIRI01,DIRETOR TÉCNICO INTERINO,
DIRI01,DIRETOR TÉCNICO INTERNO,
SEPLAN,"SECRETÁRIO DE ESTADO, RESPONDENDO",NA
DIRE01,DIRETOR EXECUTIVO DE COMERCIALIZAÇÃO  E LOGÍSTICA,
DIRE01,DIRETOR DE ASSUNTOS REGULATÓRIOS E PROJETOS ESPECIAIS,
DIRE01,DIRETOR DE REGULAÇÃO E PROJETOS ESPECIAIS,
DIRE02,DIRETOR DE REGULAÇÃO E PROJETOS ESPECIAIS,
DIRI01,DIRETOR DE ASSUNTOS REGULATÓRIOS E PROJETOS ESPECIAIS,
DIRI03,DIRETOR DE GESTÃO,
DIRE01,DIRETOR-EXECUTIVO DE INOVAÇÃO E TECNOLOGIA - DEIT,
PREE01,DIRETOR ADMINISTRATIVO - FINANCEIRO,
PREE01,DIRETOR ADMINISTRATIVO E FINANCEIRO,
PREE02,DIRETOR ADMINISTRATIVO E FINANCEIRO,
DIRE01,DIR. DE POLITICA AGRICOLA E INFORMAÇÕES,
DIRE01,DIRETOR DE CONTROLE E RISCO,
DIRE01,DIRETOR DE TECNOLOGIA E SERVIÇOS,
SEC,SECRETARIO EXECUTIVO,NA
SEC,SECRETÁRIA EXECUTIVA DA SECOM,
PRESID,PRESIDENTE,NA
VICE01,VICE-PRESIDENTE DE CANAIS,
FBC,PROCURADOR GERAL,DJ1
COM,CONTROLADOR-GERAL DO ESTADO,NA
1146,DIRETOR PRESIDENTE,
PROCGE,PROCURADORA-GERAL,
DIRI01,DIRETOR VICE-PRESIDENTE,
DIRI02,DIRETOR VICE-PRESIDENTE,
1480,PM SECRETARIO DE ESTADO,
